Id,English

// Start scene
title(start),Welcome to the Wind Energy Lab
titleText(start),Basic info
titleControls(start), Controls
text(start),"You and your team have undertaken to study the construction of a wind farm.\nThe wind park should meet the energy needs of a village with the following characteristics.\n\nPopulation: 4000 || Households: 1800 || Power requested: 6MW\n\nThrough the process of the game, you will have to select the place where your wind park will be installed, select between a number of different wind turbines types to use, as well as operate the wind farm to produce the correct amount of power requested."
mouse,Mouse :	
buttons,Buttons :

//Input Scene
title(input),Personal info
name, Name
class, Class
school, School
proceed(input),Proceed
logout, Logout

//Stage 1
title(Mountains), Mountains
title(Fields), Fields
title(Seashore), Seashore
text(Mountains),"<b>AREA-1</b>\n\nArea-1 is near mountains. It has difficult access. Its windclass is High (10 m/s). Here you have 5 places to explore.\n\n<b>Characteristics :</b>\n\n- Average Wind speed = 10 m/s\n\n- Access cost = 3 $"
text(Fields),"<b>AREA-2</b>\n\nArea-2 is near plain land. It has not difficult access. Its windclass is Medium (windspeeds 8.5 m/s). Here you have 5 places to explore.\n\n<b>Characteristics :</b>\n\n- Average Wind speed = 8.5 m/s\n\n- Access cost = 2 $"
text(seashore),"<b>AREA-3</b>\n\nArea-3 is near seashore. It has easy access due to port. Its windclass is Low (windspeeds 7.5 m/s). Here you have 8 places to explore.\n\n<b>Characteristics :</b>\n\n- Average Wind speed = 7.5 m/s\n\n- Access cost = 1 $"

//Turbine selection
title(TurbineSelection),Turbine selection
text(TurbineSelection),"Depending on the average wind speed prevailing in the area, different wind turbines are used. Select a wind turbine type to use in your wind farm by looking on the detailed table below."
windclass,wind class selection
turbineType,select turbine type
btn(TurbineSelection),proceed

//Stage2
text(controlsInfo),"Use the mouse or WASD keys to move.\nLeft mouse to rotate camera || middle zoom."
subarea,Subarea
accessCost,- Access cost:
p_archaiological,- Penalty due to proximity to archaiological sight:
p_nature,- Penalty due to proximity to natural reserve:
p_hv,- Cost due to distance from HV lines:
total,Total:

//Stage 3
wind,Wind :
output,Output :
required,Required :
pauseText,simulation Paused
configure speed,configure speed
normal speed,normal
fast speed,fast
exit sim,"exit simulation"


//Stats scene
title(stats),"Congratulations, you managed to install and operate a Wind Farm just like a real one!\nHere is what you achieved."
efficiency,Efficiency
cost,Cost
score,Score
profit,Profit
under power,-Under power:
correct power,-Correct power:
over power,-Over power:
replay,replay
cost(text),Your wind farm costed :
profit(text),You could sell the excess of power your wind farm generated and earn(per year) :
//score values
score(bronze_1),"With the selections you made throughout the game you earned "
score(bronze_2)," out of 10. Consider to read the instructions more carefully and try again."

score(xalkino_1),"Very good! With the selections you made throughout the game you earned "
score(xalkino_2)," out of 10. Surely you can improve your problem-solving skills by rethinking if there are better options you can choose next time."

score(gold_1),"Congratulations! With the selections you made throughout the game you earned "
score(gold_2)," out of 10. This means that you have high problem-solving skills."



//Surprize scene
text(s1),"Five years have passed since the establishment of your wind farm.The power consumption of the village is lower than initially planned due to most of its residents left. What do you consider to be the most appropriate option from the list below?"
title(s1), Future Scenario 1
opt1(s1),Turn off completely the excess of wind turbines
opt2(s1),Keep the wind farm and sell the excess of power generated by connecting the wind farm with the main electricity grid
opt3(s1),Do nothing keep everything as it is

text(s2),"In this scenario things had gone opposite. The power consumption of the village has been increased because of a large hotel resort establishement in the area. How will you react?"
title(s2), Future Scenario 2
opt1(s2),Try to install more wind turbines in the same area
opt2(s2),Keep the wind farm as is and install a new wind farm(or even solar panels) in a new area
opt3(s2),Do nothing keep everything as it is
